text,screen_name,tweet_date,tweet_url,image_url,reply_text,related_urls,mentions_list,hashtag_list,week,year,tweet_id,url_check,alt_text
#coffee #TidyTuesday code on https://t.co/4Km5SD3UiY + shoutout to @VanschaikJack for the map code https://t.co/46W2j2Jprm,pyyxxo,2021-01-19T16:31:47Z,https://twitter.com/pyyxxo/status/1351568045714645000/photo/1,http://pbs.twimg.com/media/EsG7-EeXAAMJlmJ.jpg,NA,http://pyyxxo.fi/tt,VanschaikJack,"coffee, TidyTuesday",3,2021,1351568045714645000,Links included,Image
"Another #rstats #tidytuesday in the bag.

This week's data comes from the 2019 Kenyan Census, which has its own R library {rKenyaCensus}!

Using data on internet search/purchasing behaviour, we looked at gender divisions in the digital divide across Kenyan counties. https://t.co/kMY3coDKfC",alexlusco,2021-01-19T17:02:08Z,https://twitter.com/alexlusco/status/1351575682791469060/photo/1,http://pbs.twimg.com/media/EsG_dOcXIAA9Zrz.jpg,NA,"NA",NA,"rstats, tidytuesday",3,2021,1351575682791469060,Images-only,Image
"Nicola Rennie
This week's #TidyTuesday comes from the 2019 Kenya Population and Housing Census results courtesy of 
@Shel_Kariuki. I look at gender divides in the proportion of people attending university.

Code: https://t.co/F6J3f7YzOa 

#DataScience #DataVisualization #RStats https://t.co/WHR3HXiRY3",nrennie35,2021-01-19T17:15:07Z,https://twitter.com/nrennie35/status/1351578950330441731/photo/1,http://pbs.twimg.com/media/EsHFoGTXcAAlVJe.jpg,NA,https://github.com/nrennie/tidytuesday/tree/main/2021/19-01-2021,Shel_Kariuki,"TidyTuesday, DataScience, DataVisualization, RStats",3,2021,1351578950330441731,Links included,A map of Kenya showing the differences in the proportion of males and females attending university.
"This week's #TidyTuesday, based on the 2019 Kenya Census. First time plotting maps, so really interested to see how others approach it this week.

Code: https://t.co/m3zIK36ljw
#RStats https://t.co/zrYsezpCGP",JaimeAAvendano,2021-01-19T17:22:53Z,https://twitter.com/JaimeAAvendano/status/1351580902770532355/photo/1,http://pbs.twimg.com/media/EsHHJrcW8AMyNFU.jpg,"And now with the actual link to the code:

https://t.co/apN5sQq4tr","https://bitly.com/, https://github.com/javendano585/TidyTuesday/blob/main/2021_Week_04/2021_01_19_tidy_tuesday.Rmd",NA,"TidyTuesday, RStats",3,2021,1351580902770532355,Links included,Image
Week 48 #TidyTuesday explored 'Hiking in Washington'. I created some simple boxplots for Elevation gain by Features of the location.  I also added fancy stars to display median ratings. #rstats https://t.co/KgW2sNcf20,johnmutiso_,2021-01-19T18:28:16Z,https://twitter.com/johnmutiso_/status/1351597359675924482/photo/1,http://pbs.twimg.com/media/EsHV3RxW8AEQQkK.jpg,NA,"NA",NA,"TidyTuesday, rstats",3,2021,1351597359675924482,Images-only,Image
"Week 52  #TidyTuesday on The Big Mac index, comparing the dollar price change of the McDonald's Big Mac for different countries across time. #rstats 

data: @TheEconomist 
code: https://t.co/wUapuB4bgC https://t.co/kjavFhlTzT",johnmutiso_,2021-01-19T18:34:23Z,https://twitter.com/johnmutiso_/status/1351598897588826117/photo/1,http://pbs.twimg.com/media/EsHW8_sXEAAtCJy.png,NA,http://github.com/johnmutiso/-TidyTuesday/blob/master/2020/week%2052/script.R,TheEconomist,"TidyTuesday, rstats",3,2021,1351598897588826117,Links included,Image
"Then Transit cost data came over from https://t.co/Z4g14f22xN  for week 2 2021 #TidyTuesday.  Length vs price vs completion period in years. 

Few seemed to be significantly longer than the others and neither of those is completed yet #RStats https://t.co/ysiVKH0S4M",johnmutiso_,2021-01-19T18:42:28Z,https://twitter.com/johnmutiso_/status/1351600930760908800/photo/1,http://pbs.twimg.com/media/EsHYXVzXcAAytlB.png,NA,http://transitcosts.com,NA,"TidyTuesday, RStats",3,2021,1351600930760908800,Links included,Image
"For the week 3 #TidyTuesday, Art collections were explored. I had keen interests in the evolution of the art dimension ratios(Width:Height). #RStats 

data: https://t.co/0yl97CEVqX
code:  https://t.co/0rJakm6BGR https://t.co/6VLBUh258Y",johnmutiso_,2021-01-19T18:49:55Z,https://twitter.com/johnmutiso_/status/1351602807384788994/photo/1,http://pbs.twimg.com/media/EsHaFgcW8AY2sPz.png,NA,"http://github.com/tategallery/collection, http://github.com/johnmutiso/-TidyTuesday/blob/master/2021/week%203/script.R",NA,"TidyTuesday, RStats",3,2021,1351602807384788994,Links included,Image
"Almost half of Nairobi's 4.4M population is between the ages of 18 and 35, according to Kenya's 2019 census.

Many young adults move to the capital city for college, jobs, social life, and to find a partner &amp; start a family.

Code at https://t.co/JiDP6T8O0c

#tidytuesday #rstats https://t.co/SYHActh4An",nsgrantham,2021-01-19T19:21:27Z,https://twitter.com/nsgrantham/status/1351610743653691392/photo/1,http://pbs.twimg.com/media/EsHeR14VoAAfulI.jpg,NA,http://nsgrantham.com/kenya-census,NA,"tidytuesday, rstats",3,2021,1351610743653691392,Links included,Image
"We made a new area variable = height * width (these were in mm), did not include depth since it had a ton of missings. Here is our first boxplot - note that one super outlier from the males, it's a massive table and chairs #TidyTuesday https://t.co/mobxQoKiWx",ludmila_janda,2021-01-19T19:23:59Z,https://twitter.com/ludmila_janda/status/1351611380521119752/photo/1,http://pbs.twimg.com/media/EsHPxtQXcAIIbg3.png,NA,"NA",NA,TidyTuesday,3,2021,1351611380521119752,Images-only,Image
"Then removed outliers based on 1.5*IQR and made a #ridgeplot (as some of you know, one of my faves) and added a raincloud since it's not clear if men make bigger art but they definitely have more art on display (it's raining men's art)
#TidyTuesday https://t.co/p4b4ybIqHl",ludmila_janda,2021-01-19T19:24:00Z,https://twitter.com/ludmila_janda/status/1351611383289413640/photo/1,http://pbs.twimg.com/media/EsHPKbnXUAEV_wo.png,NA,"NA",NA,"ridgeplot, TidyTuesday",3,2021,1351611383289413640,Images-only,Image
"Final note: this was based on very simple ""gender"" data, and we know gender is much more complicated than this. And perhaps the most striking thing to see is a simple table of art pieces at @Tate by gender. I knew the percent for female would be low, but 4%?!!! #TidyTuesday https://t.co/qE3S3okl3y",ludmila_janda,2021-01-19T19:24:03Z,https://twitter.com/ludmila_janda/status/1351611397550043140/photo/1,http://pbs.twimg.com/media/EsHKSeYWMAciMDt.png,NA,"NA",Tate,TidyTuesday,3,2021,1351611397550043140,Images-only,Image
"#TidyTuesday Week04

Population farming permantent crops in Kenya. 
Graph made with {sf} and {ggplot} packages. 

code: https://t.co/KAcaQBxjwS

#RStats #ggplot2 https://t.co/ARpMp8GSYs",avrodrigues_,2021-01-19T19:26:24Z,https://twitter.com/avrodrigues_/status/1351611987697033216/photo/1,http://pbs.twimg.com/media/EsHiRBqXMAAQYF_.jpg,NA,https://github.com/avrodrigues/Tidy_tuesday/tree/main/2021/week04,NA,"TidyTuesday, RStats, ggplot2",3,2021,1351611987697033216,Links included,Image
